epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2065.74,0.69793,0.41079,1.83256,0.91461,0.88865,0.93792,0.79441,1.6127,1.27117,2.51053,9.14405e-05,9.14405e-05,9.14405e-05
40,2118.74,0.70118,0.41347,1.84373,0.92239,0.88227,0.94372,0.78823,1.72675,1.13489,2.59066,9.09984e-05,9.09984e-05,9.09984e-05
41,2171.23,0.70666,0.40576,1.8379,0.90315,0.87838,0.92178,0.76883,1.77896,1.54111,2.59991,9.05463e-05,9.05463e-05,9.05463e-05
42,2223.72,0.68356,0.39637,1.82299,0.91649,0.88323,0.94068,0.78598,1.67331,1.45951,2.51876,9.00844e-05,9.00844e-05,9.00844e-05
43,2276.33,0.69796,0.40616,1.83514,0.92765,0.83032,0.91171,0.76188,1.84321,1.88993,2.60802,8.96127e-05,8.96127e-05,8.96127e-05
44,2328.53,0.69286,0.40414,1.83065,0.92023,0.87797,0.92961,0.78191,1.75672,1.72331,2.53118,8.91313e-05,8.91313e-05,8.91313e-05
45,2380.47,0.69456,0.40424,1.83888,0.93056,0.84342,0.91402,0.77563,1.69684,1.75813,2.48741,8.86404e-05,8.86404e-05,8.86404e-05
46,2432.36,0.69064,0.40972,1.83297,0.94549,0.83317,0.91578,0.77256,1.74356,1.58139,2.59492,8.81401e-05,8.81401e-05,8.81401e-05
47,2484.5,0.67617,0.39574,1.82151,0.91733,0.88896,0.931,0.7903,1.64046,1.22166,2.52619,8.76305e-05,8.76305e-05,8.76305e-05
48,2536.89,0.67573,0.38919,1.8198,0.92396,0.87087,0.92477,0.786,1.58995,1.32714,2.4556,8.71117e-05,8.71117e-05,8.71117e-05
49,2589.27,0.68917,0.39072,1.82991,0.91338,0.84529,0.90118,0.76231,1.6649,1.97471,2.5276,8.65839e-05,8.65839e-05,8.65839e-05
50,2642.33,0.67752,0.39431,1.82015,0.92703,0.86026,0.91299,0.76098,1.78129,1.64799,2.62882,8.60473e-05,8.60473e-05,8.60473e-05
51,2694.87,0.66594,0.38404,1.82394,0.90434,0.84092,0.90376,0.7523,1.76987,2.05213,2.57586,8.55018e-05,8.55018e-05,8.55018e-05
52,2747.75,0.6704,0.39271,1.81295,0.92027,0.87711,0.91696,0.77511,1.65233,1.70547,2.52242,8.49477e-05,8.49477e-05,8.49477e-05
53,2800.19,0.68356,0.38842,1.82611,0.9141,0.85839,0.90829,0.76593,1.71796,1.90283,2.56701,8.43851e-05,8.43851e-05,8.43851e-05
54,2852.46,0.6788,0.39933,1.81878,0.92439,0.86026,0.90979,0.75868,1.68646,1.78896,2.52507,8.38141e-05,8.38141e-05,8.38141e-05
55,2904.81,0.66683,0.38906,1.81218,0.93074,0.8803,0.92111,0.78173,1.67117,1.58663,2.48705,8.32349e-05,8.32349e-05,8.32349e-05
56,2957.27,0.67435,0.3855,1.80962,0.91906,0.8642,0.91592,0.77957,1.63545,1.91557,2.46259,8.26477e-05,8.26477e-05,8.26477e-05
57,3010.46,0.67598,0.386,1.81799,0.92418,0.86691,0.91513,0.77415,1.61972,2.03608,2.42386,8.20525e-05,8.20525e-05,8.20525e-05
58,3063.4,0.6706,0.39214,1.8177,0.92514,0.87892,0.91512,0.76517,1.74861,1.80805,2.58735,8.14495e-05,8.14495e-05,8.14495e-05
59,3115.54,0.66158,0.38286,1.81349,0.9304,0.85066,0.91168,0.76632,1.716,1.91046,2.50234,8.08389e-05,8.08389e-05,8.08389e-05
60,3167.86,0.66172,0.38456,1.81655,0.9238,0.88334,0.92729,0.76781,1.76107,1.70696,2.52582,8.02208e-05,8.02208e-05,8.02208e-05
61,3220.25,0.66083,0.38302,1.81441,0.9234,0.90994,0.93643,0.77175,1.72871,2.033,2.51017,7.95954e-05,7.95954e-05,7.95954e-05
62,3272.49,0.64893,0.37397,1.80667,0.91205,0.87333,0.92032,0.77365,1.73862,2.1747,2.52186,7.89628e-05,7.89628e-05,7.89628e-05
63,3325.53,0.66366,0.37967,1.81359,0.92116,0.8821,0.91944,0.76772,1.7675,1.85704,2.55676,7.83231e-05,7.83231e-05,7.83231e-05
64,3378.24,0.66179,0.378,1.80901,0.9294,0.89145,0.92496,0.77612,1.76737,1.75023,2.58146,7.76766e-05,7.76766e-05,7.76766e-05
65,3430.97,0.65518,0.38062,1.81373,0.93473,0.86276,0.9143,0.76366,1.73295,1.91343,2.50727,7.70234e-05,7.70234e-05,7.70234e-05
66,3482.96,0.65649,0.37687,1.79853,0.9223,0.88119,0.91457,0.76926,1.69638,1.94442,2.50759,7.63637e-05,7.63637e-05,7.63637e-05
67,3536.29,0.64769,0.38016,1.80907,0.94496,0.8675,0.91779,0.76598,1.69426,1.73467,2.55538,7.56976e-05,7.56976e-05,7.56976e-05
68,3588.46,0.65332,0.38041,1.80802,0.92921,0.87624,0.91489,0.75881,1.73317,1.95812,2.5368,7.50252e-05,7.50252e-05,7.50252e-05
69,3640.87,0.65439,0.3747,1.80895,0.92736,0.85028,0.91208,0.77123,1.71966,1.89739,2.56511,7.43468e-05,7.43468e-05,7.43468e-05
70,3693.17,0.65802,0.37998,1.81456,0.93104,0.87211,0.92301,0.7688,1.77621,1.70596,2.60973,7.36625e-05,7.36625e-05,7.36625e-05
71,3745.55,0.65627,0.37755,1.80453,0.92745,0.86927,0.91285,0.76672,1.77738,1.79094,2.62219,7.29725e-05,7.29725e-05,7.29725e-05
72,3798.99,0.6454,0.37161,1.80242,0.92228,0.88089,0.91365,0.76344,1.78666,1.78735,2.61274,7.2277e-05,7.2277e-05,7.2277e-05
73,3851.92,0.64631,0.37059,1.79562,0.91416,0.87523,0.91765,0.77253,1.71052,1.96143,2.52454,7.15761e-05,7.15761e-05,7.15761e-05
74,3904.62,0.63372,0.36315,1.79713,0.93479,0.88526,0.92966,0.77294,1.72006,1.65401,2.59108,7.087e-05,7.087e-05,7.087e-05
75,3956.97,0.63002,0.36065,1.8045,0.9387,0.87885,0.91645,0.76716,1.71316,1.77778,2.57248,7.01588e-05,7.01588e-05,7.01588e-05
76,4009.26,0.63106,0.36415,1.79744,0.91836,0.8821,0.91569,0.7628,1.78389,1.7578,2.61425,6.94428e-05,6.94428e-05,6.94428e-05
77,4061.72,0.6379,0.37002,1.80499,0.92333,0.88709,0.91931,0.76909,1.76565,1.69673,2.6063,6.87222e-05,6.87222e-05,6.87222e-05
78,4114.56,0.63124,0.36404,1.79173,0.93865,0.89083,0.93032,0.7689,1.73874,1.71906,2.59068,6.7997e-05,6.7997e-05,6.7997e-05
79,4167.43,0.63645,0.36446,1.79472,0.92359,0.88222,0.91651,0.77184,1.74338,1.91412,2.61567,6.72675e-05,6.72675e-05,6.72675e-05
80,4219.32,0.63161,0.36465,1.79723,0.91182,0.89022,0.91914,0.76537,1.81766,1.7522,2.7051,6.65339e-05,6.65339e-05,6.65339e-05
81,4271.88,0.62223,0.36424,1.7934,0.92791,0.87519,0.91713,0.77305,1.79841,1.81948,2.69486,6.57963e-05,6.57963e-05,6.57963e-05
82,4324.08,0.62327,0.36125,1.79695,0.91233,0.85839,0.9158,0.76526,1.81333,1.99297,2.71397,6.5055e-05,6.5055e-05,6.5055e-05
83,4376.2,0.62652,0.36716,1.78987,0.92443,0.864,0.91245,0.76239,1.82478,1.79278,2.71685,6.43101e-05,6.43101e-05,6.43101e-05
84,4428.59,0.62009,0.35671,1.78406,0.92284,0.86775,0.91262,0.77193,1.72225,1.62282,2.66194,6.35617e-05,6.35617e-05,6.35617e-05
85,4481.17,0.63296,0.37518,1.79881,0.8998,0.86712,0.90906,0.76487,1.76593,1.76337,2.66008,6.28101e-05,6.28101e-05,6.28101e-05
